year,university,programme,min_fee_nzd,max_fee_nzd
2016,Auckland University of Technology,A Arts; Social Sciences; Education; Community and General,5765,5765
2016,Auckland University of Technology,I Teacher Education,5765,5765
2016,The University of Waikato†,A Arts; Social Sciences; Education; Community and General,5764,5764
2016,The University of Waikato†,B Music; Psychology,6653,6653
2016,The University of Waikato†,B Computing,6653,6653
2016,The University of Waikato†,"I Teaching, Div. C",6764,6764
2016,The University of Waikato†,J Business; Law,6211,6211
2016,The University of Waikato†,N Engineering,7143,7143
2016,The University of Waikato†,V Science; Geography,6653,6653
2016,Massey University†,Arts; Business Studies; Law,5614,5614
2016,Massey University†,Clinical Psychology; Design; Science,6375,6375
2016,Massey University†,Computing,6652,6652
2016,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,6630,6630
2016,Massey University†,Engineering; Technology; Aviation; Priority Engineering,6730,6730
2016,Massey University†,Veterinary Science,11598,11598
2016,Massey University†,Teacher Education,5177,5177
2016,Victoria University of Wellington†,Humanities and Social Sciences; Education,5256,5256
2016,Victoria University of Wellington†,Commerce and Administration; Law,6182,6182
2016,Victoria University of Wellington†,Mathematics and Statistics,5776,5776
2016,Victoria University of Wellington†,Design; Psychology; Computer Science,6567,6567
2016,Victoria University of Wellington†,Architecture,7306,7306
2016,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,6638,6638
2016,Victoria University of Wellington†,Engineering,7692,7692
2016,University of Canterbury†,"Arts, Humanities and Education",5739,5739
2016,University of Canterbury†,"Business, Accountancy, Finance and Law",6075,6075
2016,University of Otago†,Arts; Languages; Theology; Mathematics; Education,5568,5568
2016,University of Otago†,Commerce; Teaching,5317,5317
2016,University of Otago†,Law,6211,6211
2016,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,6654,6654
2016,University of Otago†,Physical Education,7692,7692
2016,University of Otago†,Health Sciences; Pharmacy; Surveying,7692,7692
2016,University of Otago†,Dentistry; Medicine,14791,14791
2017,Auckland University of Technology,A Arts; Social Sciences; Education; Community and General,5880,5880
2017,Auckland University of Technology,I Teacher Education,5880,5880
2017,The University of Waikato†,A Arts; Social Sciences; Education; Community and General,5879,5879
2017,The University of Waikato†,B Music; Psychology,6786,6786
2017,The University of Waikato†,B Computing,6786,6786
2017,The University of Waikato†,"I Teaching, Div. C",6899,6899
2017,The University of Waikato†,J Business; Law,6335,6335
2017,The University of Waikato†,N Engineering,7286,7286
2017,The University of Waikato†,V Science; Geography,6786,6786
2017,Massey University†,Arts; Business Studies; Law,5726,5726
2017,Massey University†,Clinical Psychology; Design; Science,6502,6502
2017,Massey University†,Computing,6784,6784
2017,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,6766,6766
2017,Massey University†,Engineering; Technology; Aviation; Priority Engineering,7071,7071
2017,Massey University†,Veterinary Science,11829,11829
2017,Massey University†,Teacher Education,5281,5281
2017,Victoria University of Wellington†,Humanities and Social Sciences; Education,5360,5360
2017,Victoria University of Wellington†,Music (see New Zealand School of Music),6782,6782
2017,Victoria University of Wellington†,Commerce and Administration; Law,6306,6306
2017,Victoria University of Wellington†,Mathematics and Statistics,5892,5892
2017,Victoria University of Wellington†,Design; Psychology; Computer Science,6698,6698
2017,Victoria University of Wellington†,Architecture,7452,7452
2017,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,6770,6770
2017,Victoria University of Wellington†,Engineering,7845,7845
2017,University of Canterbury†,"Arts, Humanities and Education",5854,5854
2017,University of Canterbury†,"Business, Accountancy, Finance and Law",6197,6197
2017,University of Otago†,Arts; Languages; Theology; Mathematics; Education,5679,5679
2017,University of Otago†,Commerce; Teaching,5423,5423
2017,University of Otago†,Law,6335,6335
2017,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,6787,6787
2017,University of Otago†,Physical Education,7846,7846
2017,University of Otago†,Health Sciences; Pharmacy; Surveying,7846,7846
2017,University of Otago†,Dentistry; Medicine,15087,15087
2022,Auckland University of Technology,Arts; Social Sciences; Education; Community and General,6418,7376
2022,Auckland University of Technology,Sport and Recreation,6418,9163
2022,Auckland University of Technology,Teacher Education,6418,7217
2022,Auckland University of Technology,Oral Health,6901,6901
2022,The University of Waikato†,A Arts; Social Sciences; Education; Community and General,6415,6415
2022,The University of Waikato†,B Music; Psychology,7404,7404
2022,The University of Waikato†,B Computing,7404,7404
2022,The University of Waikato†,"I Teaching, Div. C",6415,6415
2022,The University of Waikato†,J Business; Law,6913,6913
2022,The University of Waikato†,l Nursing,7386,7386
2022,The University of Waikato†,N Engineering,7591,7591
2022,The University of Waikato†,V Science; Geography,7404,7404
2022,Massey University†,Arts; Business Studies; Law,6247,6247
2022,Massey University†,Clinical Psychology; Design; Science,6955,6955
2022,Massey University†,Computing,7402,7402
2022,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,7382,9812
2022,Massey University†,Engineering; Technology; Aviation; Priority Engineering,7715,9812
2022,Massey University†,Veterinary Science,12907,12907
2022,Massey University†,Teacher Education,5761,5761
2022,Victoria University of Wellington†,Humanities and Social Sciences; Education,5846,5846
2022,Victoria University of Wellington†,Music (see New Zealand School of Music),7398,7398
2022,Victoria University of Wellington†,Health,7188,7188
2022,Victoria University of Wellington†,Midwifery,8136,8136
2022,Victoria University of Wellington†,Commerce and Administration; Law,6878,6878
2022,Victoria University of Wellington†,Mathematics and Statistics,6427,6427
2022,Victoria University of Wellington†,Design; Psychology; Computer Science,7305,7305
2022,Victoria University of Wellington†,Architecture,8128,8128
2022,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,7383,7383
2022,Victoria University of Wellington†,Engineering,8558,8558
2022,University of Canterbury†,"Arts, Communications and Media, Humanities and Education",6388,6388
2022,University of Canterbury†,"Business, Accountancy, Finance and Law",6761,6761
2022,University of Otago†,Arts; Languages; Theology; Mathematics; Education,6197,6197
2022,University of Otago†,Commerce; Teaching,5917,5917
2022,University of Otago†,Law,6913,6913
2022,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,7405,7405
2022,University of Otago†,Physical Education,8561,8561
2022,University of Otago†,Health Sciences; Pharmacy; Surveying,8561,8561
2022,University of Otago†,Dentistry; Medicine,16462,16462
2023,Auckland University of Technology,Arts; Social Sciences; Education; Community and General,6594,7578
2023,Auckland University of Technology,Sport and Recreation,6594,9414
2023,Auckland University of Technology,Teacher Education,6594,7414
2023,Auckland University of Technology,Oral Health,7091,10947
2023,The University of Waikato†,A Arts; Social Sciences; Education; Community and General,6591,6591
2023,The University of Waikato†,B Music; Psychology,7608,7608
2023,The University of Waikato†,B Computing,7608,7608
2023,The University of Waikato†,"I Teaching, Div. C",6591,6591
2023,The University of Waikato†,J Business; Law,7103,7103
2023,The University of Waikato†,l Nursing,7589,7589
2023,The University of Waikato†,N Engineering,7800,7800
2023,The University of Waikato†,V Science; Geography,7608,7608
2023,Massey University†,Arts; Business Studies; Law,6594,6594
2023,Massey University†,Clinical Psychology; Design; Science,7342,7342
2023,Massey University†,Computing,7814,7814
2023,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,7793,10358
2023,Massey University†,Engineering; Technology; Aviation; Priority Engineering,8144,10358
2023,Massey University†,Veterinary Science,13625,13625
2023,Massey University†,Teacher Education,6081,6081
2023,Victoria University of Wellington†,Humanities and Social Sciences; Education,6006,6006
2023,Victoria University of Wellington†,Music (see New Zealand School of Music),7601,7601
2023,Victoria University of Wellington†,Health,7385,7385
2023,Victoria University of Wellington†,Midwifery,8359,8359
2023,Victoria University of Wellington†,Commerce and Administration; Law,7067,7067
2023,Victoria University of Wellington†,Mathematics and Statistics,6604,6604
2023,Victoria University of Wellington†,Design; Psychology; Computer Science,7506,7506
2023,Victoria University of Wellington†,Architecture,8352,8352
2023,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,7586,7586
2023,Victoria University of Wellington†,Engineering,8794,8794
2023,University of Canterbury†,"Arts, Communications and Media, Humanities and Education",6564,6564
2023,University of Canterbury†,"Business, Accountancy, Finance and Law",6947,6947
2023,University of Otago†,Arts; Languages; Theology; Mathematics; Education,6367,6367
2023,University of Otago†,Commerce; Teaching,6080,6080
2023,University of Otago†,Law,7103,7103
2023,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,7609,7609
2023,University of Otago†,Physical Education,8796,8796
2023,University of Otago†,Health Sciences; Pharmacy; Surveying,8796,8796
2023,University of Otago†,Dentistry; Medicine,16915,16915
2024,Auckland University of Technology,Arts; Social Sciences; Education; Community and General,6779,7790
2024,Auckland University of Technology,Sport and Recreation,6779,9678
2024,Auckland University of Technology,Teacher Education,6779,7622
2024,Auckland University of Technology,Oral Health,7290,11253
2024,The University of Waikato†,A Arts; Social Sciences; Education; Community and General,6776,6776
2024,The University of Waikato†,B Music; Psychology,7821,7821
2024,The University of Waikato†,B Computing,7821,7821
2024,The University of Waikato†,"I Teaching, Div. C",6776,6776
2024,The University of Waikato†,J Business; Law,7302,7302
2024,The University of Waikato†,l Nursing,7801,7801
2024,The University of Waikato†,N Engineering,8399,8399
2024,The University of Waikato†,V Science; Geography,7821,7821
2024,Massey University†,Arts; Business Studies; Law,6594,6778
2024,Massey University†,Clinical Psychology; Design; Science,7547,7547
2024,Massey University†,Computing,8032,8032
2024,Massey University†,Nursing; Agriculture/Horticulture; Architecture; Medical Laboratory Science; Quantity Surveying,8011,10648
2024,Massey University†,Engineering; Technology; Aviation; Priority Engineering,8372,10648
2024,Massey University†,Veterinary Science,14006,14006
2024,Massey University†,Teacher Education,6251,6251
2024,Victoria University of Wellington†,Humanities and Social Sciences; Education,6174,6174
2024,Victoria University of Wellington†,Music (see New Zealand School of Music),7813,7813
2024,Victoria University of Wellington†,Health,7591,7591
2024,Victoria University of Wellington†,Midwifery,8593,8593
2024,Victoria University of Wellington†,Commerce and Administration; Law,7263,7263
2024,Victoria University of Wellington†,Mathematics and Statistics,6788,6788
2024,Victoria University of Wellington†,Design; Psychology; Computer Science,7716,7716
2024,Victoria University of Wellington†,Architecture,8584,8584
2024,Victoria University of Wellington†,Chemical; Physical; Biological and Earth Sciences,7798,7798
2024,Victoria University of Wellington†,Engineering,9093,9093
2024,University of Canterbury†,"Arts, Communications and Media, Humanities and Education",6748,6748
2024,University of Canterbury†,"Business, Accountancy, Finance and Law",7142,7142
2024,University of Otago†,Arts; Languages; Theology; Mathematics; Education,6545,6545
2024,University of Otago†,Commerce; Teaching,6250,6250
2024,University of Otago†,Law,7302,7302
2024,University of Otago†,Computer Science; Design; Geography; Information Science; Music; Science,7822,7822
2024,University of Otago†,Physical Education,7822,9042
2024,University of Otago†,Health Sciences; Pharmacy; Surveying,9042,9042
2024,University of Otago†,Dentistry; Medicine,17388,17388
